OID_,CID,random,DR_SLOPE,DR_ROAD,DR_DRA,DR_DEM,DR_ASPECT,PGA0_1,PGV0_1,DIS_FAULT0_1,PP0_1,POINT_X,POINT_Y,DR_GEO,PGV01,PGA01,DIS_FAULT01,PP01,DR_FAULT,DR_PGA,DR_PGV,DR_PP,DIS_FAULT,PGA,PGV,PP,P_PP,P_PP_V,P_PP_A,P_PGV,P_PGA,P_FAU,P_FAU_A
36,1,0.010293424,0.2045381,1.335148,1.289903,0.837518,1.2945342,-0.839363767,-0.3123,0.029876928,0.343761405,-118.6965722,34.37394905,1.5959048,0.4,0.359999971,0.4059902,0.686912237,1.3560724,1.0941976,1.1547459,1.6518499,9.7344,0.54,56,0.552978,0.5565073,0.892832,0.5634066,0.7596937,0.7444068,0.1569631,0.1407593
37,1,0.01128304,2.8545845,0.4474685,1.289903,0.837518,0.6437082,-1.32943172,-0.2007159,-0.171792213,0.63683753,-118.6802885,34.41677288,1.5959048,0.425,0.239999971,0.356708731,0.768799205,1.3560724,1.2643212,1.1547459,1.6518499,8.553,0.48,58,0.587556,0.876533,0.9760607,0.6767772,0.9460889,0.7584131,0.4680436,0.1833222
38,1,0.012474656,1.3505726,1.335148,1.289903,2.6639924,0.6437082,0.63084009,1.6962138,-1.384777298,1.25455365,-118.6026151,34.37447053,1.5959048,0.85,0.719999971,0.060294087,0.941392248,1.2932247,1.0628572,0.7968163,1.3733321,1.4472,0.72,92,0.660436,0.9846323,0.9858251,0.987556,0.9879671,0.9774011,0.9291694,0.7455468
39,1,0.01248318,9.1183329,1.9570681,0.9781319,2.6639924,0.6582797,1.284264026,0.4687887,-0.158255423,0.179483499,-118.6524205,34.32073169,0.6808639,0.575,0.879999971,0.360016688,0.64101215,1.3560724,0.9155879,1.1547459,1.6518499,8.6323,0.8,70,0.533596,0.991966,0.9985619,0.9985343,0.993794,0.9794071,0.8898295,0.9626731
40,1,0.01255548,2.8545845,1.335148,0.5590755,2.6639924,0.6437082,1.120908042,1.3614615,-1.269296366,1.091140274,-118.5793619,34.35596259,1.5959048,0.775,0.839999971,0.088513923,0.895733715,1.2932247,1.0628572,1.2530659,1.3733321,2.1237,0.78,86,0.641156,0.9826387,0.9772239,0.9867576,0.9853419,0.9772683,0.9169797,0.7463048
41,1,0.012874305,1.3505726,1.335148,1.289903,2.6639924,1.2945342,-0.839363767,-0.2007159,-0.006824329,0.366951187,-118.6942149,34.37389684,1.5959048,0.425,0.359999971,0.39702159,0.693391581,1.3560724,1.0941976,1.1547459,1.6518499,9.5194,0.54,58,0.555714,0.9780329,0.9959379,0.9770451,0.9917724,0.9903871,0.8766412,0.8433015
42,1,0.013421714,9.1183329,1.9570681,0.5590755,2.6639924,1.4390537,1.120908042,0.2456205,-0.029886375,0.119907118,-118.6662336,34.32203685,0.6808639,0.525,0.839999971,0.391385966,0.624366205,1.3560724,1.0628572,1.1547459,1.6518499,9.3843,0.78,66,0.526567,0.9975274,0.9995801,0.9978922,0.9978859,0.9835525,0.9602277,0.9624569
43,1,0.013614774,5.0127993,0.6660407,1.289903,2.6639924,1.0189182,0.467484105,1.0267092,-0.757322363,0.801268001,-118.6445094,34.36140153,1.5959048,0.7,0.679999971,0.213623945,0.81474192,1.3560724,0.7828309,1.2530659,1.3733321,5.1229,0.7,80,0.606956,0.9687504,0.9545661,0.9726152,0.9764316,0.971474,0.8325767,0.6470276
44,1,0.013688385,0.2045381,1.9570681,1.289903,2.6639924,1.298568,0.957552058,1.3614615,-1.062864597,0.945483695,-118.6012173,34.35411986,1.5959048,0.775,0.799999971,0.138959225,0.855036522,1.2932247,1.0628572,1.2530659,1.3733321,3.333,0.76,86,0.623971,0.8180215,0.7692357,0.8731385,0.848515,0.7738185,0.4568574,0.1957616
45,1,0.014017642,1.3505726,1.335148,1.0484922,0.837518,1.298568,-1.492787704,-0.6470523,0.034776119,0.574837072,-118.68534,34.43771284,1.5959048,0.325,0.199999971,0.407187405,0.75147596,1.3560724,1.2643212,0.707796,1.6518499,9.7631,0.46,50,0.580241,0.7960845,0.7600584,0.6001284,0.6243374,0.6637388,0.3737879,0.1684016
